No,date,AQI,PM2.5,O3,NO2,SO2,PM10,CO,TEMP,WSPEED,WDIR
0,2017-01-01T00:00:00,96,38.2,13,3,0,9.2,0.1,17.9,0.9,166
1,2017-01-01T01:00:00,70,28.0,12,3,0,10.0,0.1,18,1.1,173
2,2017-01-01T02:00:00,46,18.2,11,4,0,9.1,0.1,17.9,1.1,155
3,2017-01-01T03:00:00,30,11.9,11,4,0,7.4,0.1,18,0.7,132
4,2017-01-01T04:00:00,19,6.3,13,3,0,7.9,0.1,18.1,0.9,163
5,2017-01-01T05:00:00,19,6.4,12,3,0,11.6,0.1,17.9,0.9,145
6,2017-01-01T06:00:00,19,4.3,11,3,0,11.1,0.1,17.6,0.7,133
7,2017-01-01T07:00:00,18,4.0,12,3,0,9.2,0.1,18.1,0.5,65
8,2017-01-01T08:00:00,17,3.2,14,2,0,7.9,0.1,19.4,1.1,83
9,2017-01-01T09:00:00,17,2.8,17,2,0,8.6,0.1,21.5,0.3,156
10,2017-01-01T10:00:00,20,4.1,15,5,1,10.2,0.1,20.5,1.2,228
11,2017-01-01T11:00:00,23,3.8,15,5,2,15.9,0.2,21.1,1.3,224
12,2017-01-01T12:00:00,24,3.4,16,5,1,13.3,0.2,20.6,1.8,206
13,2017-01-01T13:00:00,21,5.1,21,3,1,5.8,0.2,21.6,1.7,216
14,2017-01-01T14:00:00,19,7.7,19,2,1,8.3,0.2,21,2,216
15,2017-01-01T15:00:00,22,8.7,16,2,0,11.5,0.2,19.5,2.6,216
16,2017-01-01T16:00:00,16,6.3,14,2,0,3.1,0.2,18.8,1.9,210
17,2017-01-01T17:00:00,14,5.7,13,2,0,9.3,0.1,20.5,1.4,188
18,2017-01-01T18:00:00,14,5.4,13,2,0,6.7,0.1,19.7,2.1,199
19,2017-01-01T19:00:00,14,5.6,11,2,0,10.2,0.1,17.9,1.9,198
20,2017-01-01T20:00:00,14,2.3,10,2,0,10.8,0.1,17.3,1.4,208
21,2017-01-01T21:00:00,15,1.9,9,3,0,10.4,0.1,17,1.2,209
22,2017-01-01T22:00:00,14,2.7,10,3,0,6.6,0.1,16.9,2.5,209
23,2017-01-01T23:00:00,13,5.1,11,2,0,6.2,0.1,16.8,2.4,213
24,2017-01-02T00:00:00,26,4.6,11,2,0,5.6,0.1,16.4,1.9,211
25,2017-01-02T01:00:00,22,3.4,15.22,9.64,0.41,6.1,0.22,15.7,2.1,224
26,2017-01-02T02:00:00,19,1.6,12,1,0,3.9,0.1,16.2,2.8,215
27,2017-01-02T03:00:00,18,0.2,12,1,0,6.8,0.1,16,2.7,211
28,2017-01-02T04:00:00,16,0.0,12,1,0,8.1,0.1,15.7,2.1,212
29,2017-01-02T05:00:00,14,0.0,11,2,0,7.5,0.1,15.4,2,214
30,2017-01-02T06:00:00,14,0.0,11,2,0,8.1,0.1,15.2,2.5,226
31,2017-01-02T07:00:00,13,0.0,6,6,1,8.0,0.1,14.8,1.6,257
32,2017-01-02T08:00:00,14,0.0,3,9,2,9.9,0.1,14.9,1.4,266
33,2017-01-02T09:00:00,14,1.6,7,6,2,6.9,0.1,15.5,1.6,225
34,2017-01-02T10:00:00,14,0.6,14,2,1,7.3,0.1,16.8,2.5,202
35,2017-01-02T11:00:00,14,1.3,14,2,0,8.6,0.1,17.4,2.5,207
36,2017-01-02T12:00:00,14,4.3,14,2,0,7.9,0.1,16.2,2.2,205
37,2017-01-02T13:00:00,14,4.4,14,2,0,7.5,0.1,17.7,2.4,193
38,2017-01-02T14:00:00,15,5.6,15,1,0,9.6,0.1,17.9,3.2,209
39,2017-01-02T15:00:00,16,6.4,15,1,0,11.6,0.1,17,2.9,195
40,2017-01-02T16:00:00,15,4.1,14,2,0,9.2,0.1,17.2,2.2,189
41,2017-01-02T17:00:00,14,3.7,14,2,0,10.9,0.1,17.3,2.6,198
42,2017-01-02T18:00:00,14,3.3,14,2,0,10.0,0.1,17,2.4,203
43,2017-01-02T19:00:00,14,3.8,14,2,0,9.0,0.1,16.9,2.3,202
44,2017-01-02T20:00:00,14,2.5,13,2,0,10.5,0.1,16.4,1.7,188
45,2017-01-02T21:00:00,14,1.4,13,2,0,10.7,0.1,16.1,1.4,179
46,2017-01-02T22:00:00,17,1.9,12,2,0,13.3,0.1,16.1,1.4,172
47,2017-01-02T23:00:00,14,0.6,12,2,0,11.4,0.1,15.9,1,151
48,2017-01-03T00:00:00,14,0.0,11,2,0,9.2,0.1,15.9,1.3,168
49,2017-01-03T01:00:00,12,0.0,15.22,9.64,0.41,9.9,0.22,15.8,1.1,157
50,2017-01-03T02:00:00,13,1.8,11,2,0,9.5,0.1,15.7,1,161
51,2017-01-03T03:00:00,13,4.5,11,2,0,8.0,0.1,15.6,1,158
52,2017-01-03T04:00:00,20,7.9,11,1,0,8.7,0.1,15.4,1,138
53,2017-01-03T05:00:00,22,8.9,10,2,0,10.5,0.1,15.3,1,132
54,2017-01-03T06:00:00,14,5.6,10,3,0,11.3,0.1,15.3,1,141
55,2017-01-03T07:00:00,17,1.6,8,5,0,13.2,0.1,15.6,1,140
56,2017-01-03T08:00:00,17,0.0,8,5,0,13.7,0.1,16.4,1,142
57,2017-01-03T09:00:00,13,0.1,10,4,0,9.6,0.1,17.1,1.3,155
58,2017-01-03T10:00:00,13,1.1,13,2,0,8.7,0.1,18.5,1.2,165
59,2017-01-03T11:00:00,14,3.2,14,2,0,9.0,0.1,20,1.3,181
60,2017-01-03T12:00:00,19,7.7,17,2,0,12.5,0.1,20.9,2.1,207
61,2017-01-03T13:00:00,19,7.5,16,2,0,10.1,0.2,20.9,3.1,230
62,2017-01-03T14:00:00,19,6.7,19,3,0,10.8,0.2,21.5,2.8,218
63,2017-01-03T15:00:00,18,4.2,18,2,0,13.3,0.2,22,3,207
64,2017-01-03T16:00:00,18,3.7,16,2,0,14.6,0.2,21.8,3.1,210
65,2017-01-03T17:00:00,20,2.9,16,2,0,15.6,0.2,21.3,3,220
66,2017-01-03T18:00:00,21,1.2,14,2,0,16.6,0.2,20.8,2.9,212
67,2017-01-03T19:00:00,22,3.2,12,3,1,17.6,0.2,19.4,2.6,212
68,2017-01-03T20:00:00,22,8.1,11,4,1,17.8,0.1,17.9,2.5,217
69,2017-01-03T21:00:00,19,5.0,8,6,1,14.9,0.1,17.3,1.7,216
70,2017-01-03T22:00:00,18,3.9,9,5,0,12.6,0.1,16.8,1,179
71,2017-01-03T23:00:00,19,5.1,7,5,0,14.6,0.1,16,0.9,206
72,2017-01-04T00:00:00,19,2.7,7,5,0,11.4,0.1,15.5,0.8,218
73,2017-01-04T01:00:00,16,3.1,15.22,9.64,0.41,10.5,0.22,15,0.5,236
74,2017-01-04T02:00:00,17,3.4,3,6,0,7.3,0.1,14.1,0.1,335
75,2017-01-04T03:00:00,18,1.2,1,7,0,8.6,0.1,13.3,0.1,355
76,2017-01-04T04:00:00,18,0.8,0,8,0,10.9,0.1,12.8,0.2,29
77,2017-01-04T05:00:00,20,3.3,0,8,0,12.1,0.1,12.6,0.4,338
78,2017-01-04T06:00:00,30,3.8,1,10,1,18.8,0.2,13.4,0.3,70
79,2017-01-04T07:00:00,39,3.9,3,10,1,27.9,0.2,15.8,0.3,29
