No,date,PM2.5,TRAFFIC_4419
0,2017-05-09T14:00:00,2.7,2025
1,2017-05-09T15:00:00,9.6,1971
2,2017-05-09T16:00:00,3.8,2120
3,2017-05-09T17:00:00,0.0,2127
4,2017-05-09T18:00:00,2.1,2167
5,2017-05-09T19:00:00,4.2,1803
6,2017-05-09T20:00:00,9.0,1492
7,2017-05-09T21:00:00,3.5,1304
8,2017-05-09T22:00:00,0.0,1199
9,2017-05-09T23:00:00,4.0,686
10,2017-05-10T00:00:00,2.4,447
11,2017-05-10T01:00:00,4.0,257
12,2017-05-10T02:00:00,3.4,196
13,2017-05-10T03:00:00,5.6,165
14,2017-05-10T04:00:00,6.3,256
15,2017-05-10T05:00:00,6.2,639
16,2017-05-10T06:00:00,13.4,1544
17,2017-05-10T07:00:00,13.3,2152
18,2017-05-10T08:00:00,15.3,1941
19,2017-05-10T09:00:00,8.6,1891
20,2017-05-10T10:00:00,17.4,1893
21,2017-05-10T11:00:00,15.7,2023
22,2017-05-10T12:00:00,3.2,1898
23,2017-05-10T13:00:00,5.3,1995
24,2017-05-10T14:00:00,8.9,2035
25,2017-05-10T15:00:00,12.2,2082
26,2017-05-10T16:00:00,30.7,1975
27,2017-05-10T17:00:00,19.8,2271
28,2017-05-10T18:00:00,10.4,2286
29,2017-05-10T19:00:00,11.2,1976
30,2017-05-10T20:00:00,15.0,1614
31,2017-05-10T21:00:00,19.1,1615
32,2017-05-10T22:00:00,22.3,1308
33,2017-05-10T23:00:00,21.7,820
34,2017-05-11T00:00:00,18.3,531
35,2017-05-11T01:00:00,26.3,299
36,2017-05-11T02:00:00,20.4,238
37,2017-05-11T03:00:00,19.3,200
38,2017-05-11T04:00:00,18.8,260
39,2017-05-11T05:00:00,18.1,653
40,2017-05-11T06:00:00,11.0,1620
41,2017-05-11T07:00:00,13.1,2028
42,2017-05-11T08:00:00,17.6,1981
43,2017-05-11T09:00:00,15.3,1990
44,2017-05-11T10:00:00,23.4,1728
45,2017-05-11T11:00:00,30.3,1878
46,2017-05-11T12:00:00,33.4,2023
47,2017-05-11T13:00:00,39.0,1878
48,2017-05-11T14:00:00,34.3,2019
49,2017-05-11T15:00:00,30.8,1959
50,2017-05-11T16:00:00,29.9,2149
51,2017-05-11T17:00:00,25.6,2114
52,2017-05-11T18:00:00,26.8,2102
53,2017-05-11T19:00:00,31.6,1962
54,2017-05-11T20:00:00,36.5,1716
55,2017-05-11T21:00:00,45.3,1633
56,2017-05-11T22:00:00,52.3,1608
57,2017-05-11T23:00:00,55.5,1101
58,2017-05-12T00:00:00,37.3,704
59,2017-05-12T01:00:00,38.2,451
60,2017-05-12T02:00:00,29.3,323
61,2017-05-12T03:00:00,25.3,292
62,2017-05-12T04:00:00,20.5,315
63,2017-05-12T05:00:00,22.0,658
64,2017-05-12T06:00:00,18.8,1655
65,2017-05-12T07:00:00,20.7,2021
66,2017-05-12T08:00:00,22.6,1885
67,2017-05-12T09:00:00,26.8,1973
68,2017-05-12T10:00:00,29.7,1781
69,2017-05-12T11:00:00,28.3,1972
70,2017-05-12T12:00:00,27.4,1987
71,2017-05-12T13:00:00,39.3,1970
72,2017-05-12T14:00:00,39.7,2199
73,2017-05-12T15:00:00,27.3,2130
74,2017-05-12T16:00:00,29.2,2242
75,2017-05-12T17:00:00,22.4,2355
76,2017-05-12T18:00:00,24.0,2266
77,2017-05-12T19:00:00,17.1,2085
78,2017-05-12T20:00:00,18.3,1948
79,2017-05-12T21:00:00,13.6,1801
80,2017-05-12T22:00:00,13.3,1708
81,2017-05-12T23:00:00,4.6,1623
82,2017-05-13T00:00:00,9.7,1358
83,2017-05-13T01:00:00,8.8,1029
84,2017-05-13T02:00:00,5.8,880
85,2017-05-13T03:00:00,8.8,617
86,2017-05-13T04:00:00,7.6,434
87,2017-05-13T05:00:00,5.7,514
88,2017-05-13T06:00:00,7.4,912
89,2017-05-13T07:00:00,6.7,1089
90,2017-05-13T08:00:00,12.9,1426
91,2017-05-13T09:00:00,15.6,1796
92,2017-05-13T10:00:00,16.3,2039
93,2017-05-13T11:00:00,15.8,2273
94,2017-05-13T12:00:00,5.3,2306
95,2017-05-13T13:00:00,11.4,2293
96,2017-05-13T14:00:00,14.2,2421
97,2017-05-13T15:00:00,5.9,2303
98,2017-05-13T16:00:00,2.4,1911
99,2017-05-13T17:00:00,2.9,1985
100,2017-05-13T18:00:00,0.3,2173
101,2017-05-13T19:00:00,9.8,2162
102,2017-05-13T20:00:00,12.3,1981
103,2017-05-13T21:00:00,12.4,1767
104,2017-05-13T22:00:00,12.8,1968
105,2017-05-13T23:00:00,8.8,1825
106,2017-05-14T00:00:00,10.3,1512
107,2017-05-14T01:00:00,17.9,1368
108,2017-05-14T02:00:00,18.4,1049
109,2017-05-14T03:00:00,15.6,925
110,2017-05-14T04:00:00,16.8,628
111,2017-05-14T05:00:00,17.3,515
112,2017-05-14T06:00:00,17.4,718
113,2017-05-14T07:00:00,15.0,750
114,2017-05-14T08:00:00,20.3,959
115,2017-05-14T09:00:00,21.1,1281
116,2017-05-14T10:00:00,18.9,1670
117,2017-05-14T11:00:00,15.8,1970
