No,date,AQI,PM2.5
0,2017-05-09T14:00:00,7,2.7
1,2017-05-09T15:00:00,24,9.6
2,2017-05-09T16:00:00,10,3.8
3,2017-05-09T17:00:00,0,0.0
4,2017-05-09T18:00:00,5,2.1
5,2017-05-09T19:00:00,11,4.2
6,2017-05-09T20:00:00,23,9.0
7,2017-05-09T21:00:00,9,3.5
8,2017-05-09T22:00:00,0,0.0
9,2017-05-09T23:00:00,10,4.0
10,2017-05-10T00:00:00,6,2.4
11,2017-05-10T01:00:00,10,4.0
12,2017-05-10T02:00:00,9,3.4
13,2017-05-10T03:00:00,14,5.6
14,2017-05-10T04:00:00,16,6.3
15,2017-05-10T05:00:00,16,6.2
16,2017-05-10T06:00:00,34,13.4
17,2017-05-10T07:00:00,33,13.3
18,2017-05-10T08:00:00,38,15.3
19,2017-05-10T09:00:00,23,8.6
20,2017-05-10T10:00:00,43,17.4
21,2017-05-10T11:00:00,39,15.7
22,2017-05-10T12:00:00,26,3.2
23,2017-05-10T13:00:00,26,5.3
24,2017-05-10T14:00:00,27,8.9
25,2017-05-10T15:00:00,31,12.2
26,2017-05-10T16:00:00,77,30.7
27,2017-05-10T17:00:00,50,19.8
28,2017-05-10T18:00:00,37,10.4
29,2017-05-10T19:00:00,38,11.2
30,2017-05-10T20:00:00,39,15.0
31,2017-05-10T21:00:00,48,19.1
32,2017-05-10T22:00:00,56,22.3
33,2017-05-10T23:00:00,54,21.7
34,2017-05-11T00:00:00,51,18.3
35,2017-05-11T01:00:00,66,26.3
36,2017-05-11T02:00:00,58,20.4
37,2017-05-11T03:00:00,60,19.3
38,2017-05-11T04:00:00,62,18.8
39,2017-05-11T05:00:00,64,18.1
40,2017-05-11T06:00:00,64,11.0
41,2017-05-11T07:00:00,64,13.1
42,2017-05-11T08:00:00,64,17.6
43,2017-05-11T09:00:00,65,15.3
44,2017-05-11T10:00:00,66,23.4
45,2017-05-11T11:00:00,76,30.3
46,2017-05-11T12:00:00,84,33.4
47,2017-05-11T13:00:00,98,39.0
48,2017-05-11T14:00:00,86,34.3
49,2017-05-11T15:00:00,87,30.8
50,2017-05-11T16:00:00,86,29.9
51,2017-05-11T17:00:00,88,25.6
52,2017-05-11T18:00:00,90,26.8
53,2017-05-11T19:00:00,94,31.6
54,2017-05-11T20:00:00,97,36.5
55,2017-05-11T21:00:00,113,45.3
56,2017-05-11T22:00:00,131,52.3
57,2017-05-11T23:00:00,139,55.5
58,2017-05-12T00:00:00,115,37.3
59,2017-05-12T01:00:00,117,38.2
60,2017-05-12T02:00:00,119,29.3
61,2017-05-12T03:00:00,120,25.3
62,2017-05-12T04:00:00,120,20.5
63,2017-05-12T05:00:00,121,22.0
64,2017-05-12T06:00:00,122,18.8
65,2017-05-12T07:00:00,123,20.7
66,2017-05-12T08:00:00,124,22.6
67,2017-05-12T09:00:00,126,26.8
68,2017-05-12T10:00:00,127,29.7
69,2017-05-12T11:00:00,127,28.3
70,2017-05-12T12:00:00,126,27.4
71,2017-05-12T13:00:00,126,39.3
72,2017-05-12T14:00:00,127,39.7
73,2017-05-12T15:00:00,126,27.3
74,2017-05-12T16:00:00,126,29.2
75,2017-05-12T17:00:00,126,22.4
76,2017-05-12T18:00:00,125,24.0
77,2017-05-12T19:00:00,122,17.1
78,2017-05-12T20:00:00,120,18.3
79,2017-05-12T21:00:00,114,13.6
80,2017-05-12T22:00:00,108,13.3
81,2017-05-12T23:00:00,99,4.6
82,2017-05-13T00:00:00,95,9.7
83,2017-05-13T01:00:00,90,8.8
84,2017-05-13T02:00:00,86,5.8
85,2017-05-13T03:00:00,83,8.8
86,2017-05-13T04:00:00,81,7.6
87,2017-05-13T05:00:00,78,5.7
88,2017-05-13T06:00:00,76,7.4
89,2017-05-13T07:00:00,74,6.7
90,2017-05-13T08:00:00,72,12.9
91,2017-05-13T09:00:00,70,15.6
92,2017-05-13T10:00:00,68,16.3
93,2017-05-13T11:00:00,66,15.8
94,2017-05-13T12:00:00,62,5.3
95,2017-05-13T13:00:00,58,11.4
96,2017-05-13T14:00:00,54,14.2
97,2017-05-13T15:00:00,50,5.9
98,2017-05-13T16:00:00,46,2.4
99,2017-05-13T17:00:00,42,2.9
100,2017-05-13T18:00:00,38,0.3
101,2017-05-13T19:00:00,37,9.8
102,2017-05-13T20:00:00,36,12.3
103,2017-05-13T21:00:00,36,12.4
