No,date,AQI,PM2.5,TRAFFIC_4405
0,2017-01-01T00:00:00,41.65,8.13,1930
1,2017-01-01T01:00:00,41.65,8.13,1923
2,2017-01-01T02:00:00,41.65,8.13,1251
3,2017-01-01T03:00:00,41.65,8.13,964
4,2017-01-01T04:00:00,41.65,8.13,646
5,2017-01-01T05:00:00,41.65,8.13,524
6,2017-01-01T06:00:00,41.65,8.13,604
7,2017-01-01T07:00:00,41.65,8.13,558
8,2017-01-01T08:00:00,41.65,8.13,562
9,2017-01-01T09:00:00,41.65,8.13,776
10,2017-01-01T10:00:00,41.65,8.13,1225
11,2017-01-01T11:00:00,41.65,8.13,1445
12,2017-01-01T12:00:00,41.65,8.13,1812
13,2017-01-01T13:00:00,41.65,8.13,1911
14,2017-01-01T14:00:00,41.65,8.13,1934
15,2017-01-01T15:00:00,41.65,8.13,2122
16,2017-01-01T16:00:00,41.65,8.13,2015
17,2017-01-01T17:00:00,41.65,8.13,2116
18,2017-01-01T18:00:00,41.65,8.13,1689
19,2017-01-01T19:00:00,41.65,8.13,1440
20,2017-01-01T20:00:00,41.65,8.13,1405
21,2017-01-01T21:00:00,41.65,8.13,1531
22,2017-01-01T22:00:00,41.65,8.13,1947
23,2017-01-01T23:00:00,41.65,8.13,1051
24,2017-01-02T00:00:00,41.65,8.13,656
25,2017-01-02T01:00:00,41.65,8.13,483
26,2017-01-02T02:00:00,41.65,8.13,279
27,2017-01-02T03:00:00,41.65,8.13,256
28,2017-01-02T04:00:00,41.65,8.13,199
29,2017-01-02T05:00:00,41.65,8.13,343
30,2017-01-02T06:00:00,41.65,8.13,536
31,2017-01-02T07:00:00,41.65,8.13,626
32,2017-01-02T08:00:00,41.65,8.13,650
33,2017-01-02T09:00:00,41.65,8.13,1112
34,2017-01-02T10:00:00,41.65,8.13,1531
35,2017-01-02T11:00:00,41.65,8.13,1829
36,2017-01-02T12:00:00,41.65,8.13,2188
37,2017-01-02T13:00:00,41.65,8.13,2152
38,2017-01-02T14:00:00,41.65,8.13,2129
39,2017-01-02T15:00:00,41.65,8.13,2196
40,2017-01-02T16:00:00,41.65,8.13,2096
41,2017-01-02T17:00:00,41.65,8.13,1945
42,2017-01-02T18:00:00,41.65,8.13,1884
43,2017-01-02T19:00:00,41.65,8.13,1461
44,2017-01-02T20:00:00,41.65,8.13,1334
45,2017-01-02T21:00:00,41.65,8.13,1220
46,2017-01-02T22:00:00,41.65,8.13,1096
47,2017-01-02T23:00:00,41.65,8.13,855
48,2017-01-03T00:00:00,41.65,8.13,520
49,2017-01-03T01:00:00,41.65,8.13,261
50,2017-01-03T02:00:00,41.65,8.13,224
51,2017-01-03T03:00:00,41.65,8.13,188
52,2017-01-03T04:00:00,41.65,8.13,212
53,2017-01-03T05:00:00,41.65,8.13,470
54,2017-01-03T06:00:00,41.65,8.13,1137
55,2017-01-03T07:00:00,41.65,8.13,2159
56,2017-01-03T08:00:00,41.65,8.13,2470
57,2017-01-03T09:00:00,41.65,8.13,2066
58,2017-01-03T10:00:00,41.65,8.13,2169
59,2017-01-03T11:00:00,41.65,8.13,2420
60,2017-01-03T12:00:00,41.65,8.13,2411
61,2017-01-03T13:00:00,41.65,8.13,2436
62,2017-01-03T14:00:00,41.65,8.13,2388
63,2017-01-03T15:00:00,41.65,8.13,2466
64,2017-01-03T16:00:00,41.65,8.13,2963
65,2017-01-03T17:00:00,41.65,8.13,3030
66,2017-01-03T18:00:00,41.65,8.13,2208
67,2017-01-03T19:00:00,41.65,8.13,1694
68,2017-01-03T20:00:00,41.65,8.13,1518
69,2017-01-03T21:00:00,41.65,8.13,1453
70,2017-01-03T22:00:00,41.65,8.13,1202
71,2017-01-03T23:00:00,41.65,8.13,869
72,2017-01-04T00:00:00,41.65,8.13,547
73,2017-01-04T01:00:00,41.65,8.13,305
74,2017-01-04T02:00:00,41.65,8.13,202
75,2017-01-04T03:00:00,41.65,8.13,182
76,2017-01-04T04:00:00,41.65,8.13,243
77,2017-01-04T05:00:00,41.65,8.13,482
78,2017-01-04T06:00:00,41.65,8.13,1231
79,2017-01-04T07:00:00,41.65,8.13,2291
80,2017-01-04T08:00:00,41.65,8.13,2695
81,2017-01-04T09:00:00,41.65,8.13,2216
82,2017-01-04T10:00:00,41.65,8.13,2078
83,2017-01-04T11:00:00,41.65,8.13,2274
84,2017-01-04T12:00:00,41.65,8.13,2344
85,2017-01-04T13:00:00,41.65,8.13,2283
86,2017-01-04T14:00:00,41.65,8.13,2406
87,2017-01-04T15:00:00,41.65,8.13,2568
88,2017-01-04T16:00:00,41.65,8.13,2877
89,2017-01-04T17:00:00,41.65,8.13,3110
90,2017-01-04T18:00:00,41.65,8.13,2534
91,2017-01-04T19:00:00,41.65,8.13,2103
92,2017-01-04T20:00:00,41.65,8.13,1823
93,2017-01-04T21:00:00,41.65,8.13,1719
94,2017-01-04T22:00:00,41.65,8.13,1481
95,2017-01-04T23:00:00,41.65,8.13,1024
96,2017-01-05T00:00:00,41.65,8.13,598
97,2017-01-05T01:00:00,41.65,8.13,347
98,2017-01-05T02:00:00,41.65,8.13,220
99,2017-01-05T03:00:00,41.65,8.13,186
100,2017-01-05T04:00:00,41.65,8.13,229
101,2017-01-05T05:00:00,41.65,8.13,528
102,2017-01-05T06:00:00,41.65,8.13,1219
103,2017-01-05T07:00:00,41.65,8.13,2280
104,2017-01-05T08:00:00,41.65,8.13,2747
105,2017-01-05T09:00:00,41.65,8.13,2211
106,2017-01-05T10:00:00,41.65,8.13,2294
107,2017-01-05T11:00:00,41.65,8.13,2344
108,2017-01-05T12:00:00,41.65,8.13,2348
109,2017-01-05T13:00:00,41.65,8.13,2371
110,2017-01-05T14:00:00,41.65,8.13,2440
111,2017-01-05T15:00:00,41.65,8.13,2485
112,2017-01-05T16:00:00,41.65,8.13,2742
113,2017-01-05T17:00:00,41.65,8.13,3120
114,2017-01-05T18:00:00,41.65,8.13,2285
115,2017-01-05T19:00:00,41.65,8.13,1748
116,2017-01-05T20:00:00,41.65,8.13,1590
117,2017-01-05T21:00:00,41.65,8.13,1672
118,2017-01-05T22:00:00,41.65,8.13,1486
119,2017-01-05T23:00:00,41.65,8.13,999
120,2017-01-06T00:00:00,41.65,8.13,634
121,2017-01-06T01:00:00,41.65,8.13,431
122,2017-01-06T02:00:00,41.65,8.13,287
123,2017-01-06T03:00:00,41.65,8.13,254
124,2017-01-06T04:00:00,41.65,8.13,258
125,2017-01-06T05:00:00,41.65,8.13,581
126,2017-01-06T06:00:00,41.65,8.13,1226
127,2017-01-06T07:00:00,41.65,8.13,2173
